datetime,hour,day_of_week,is_holiday,traffic_volume
2023-01-01 00:00:00,0,6,0,1469
2023-01-01 01:00:00,1,6,0,1583
2023-01-01 02:00:00,2,6,0,1389
2023-01-01 03:00:00,3,6,0,1462
2023-01-01 04:00:00,4,6,0,1735
2023-01-01 05:00:00,5,6,0,1715
2023-01-01 06:00:00,6,6,0,1680
2023-01-01 07:00:00,7,6,0,1784
2023-01-01 08:00:00,8,6,0,1756
2023-01-01 09:00:00,9,6,0,1569
2023-01-01 10:00:00,10,6,0,1487
2023-01-01 11:00:00,11,6,0,1353
2023-01-01 12:00:00,12,6,0,1258
2023-01-01 13:00:00,13,6,0,1224
2023-01-01 14:00:00,14,6,0,942
2023-01-01 15:00:00,15,6,0,882
2023-01-01 16:00:00,16,6,0,827
2023-01-01 17:00:00,17,6,0,816
2023-01-01 18:00:00,18,6,0,827
2023-01-01 19:00:00,19,6,0,1021
2023-01-01 20:00:00,20,6,0,924
2023-01-01 21:00:00,21,6,0,1006
2023-01-01 22:00:00,22,6,0,1023
2023-01-01 23:00:00,23,6,0,1072
2023-01-02 00:00:00,0,0,0,1647
2023-01-02 01:00:00,1,0,0,1758
2023-01-02 02:00:00,2,0,0,1989
2023-01-02 03:00:00,3,0,0,1888
2023-01-02 04:00:00,4,0,0,2192
2023-01-02 05:00:00,5,0,0,2171
2023-01-02 06:00:00,6,0,0,2273
2023-01-02 07:00:00,7,0,0,2110
2023-01-02 08:00:00,8,0,0,2042
2023-01-02 09:00:00,9,0,0,2012
2023-01-02 10:00:00,10,0,0,1906
2023-01-02 11:00:00,11,0,0,1910
2023-01-02 12:00:00,12,0,0,1779
2023-01-02 13:00:00,13,0,0,1761
2023-01-02 14:00:00,14,0,0,1400
2023-01-02 15:00:00,15,0,0,1011
2023-01-02 16:00:00,16,0,0,1226
2023-01-02 17:00:00,17,0,0,1240
2023-01-02 18:00:00,18,0,0,1271
2023-01-02 19:00:00,19,0,0,1247
2023-01-02 20:00:00,20,0,0,1217
2023-01-02 21:00:00,21,0,0,1517
2023-01-02 22:00:00,22,0,0,1346
2023-01-02 23:00:00,23,0,0,1543
2023-01-03 00:00:00,0,1,0,1592
2023-01-03 01:00:00,1,1,0,1831
2023-01-03 02:00:00,2,1,0,2108
2023-01-03 03:00:00,3,1,0,2039
2023-01-03 04:00:00,4,1,0,2119
2023-01-03 05:00:00,5,1,0,2013
2023-01-03 06:00:00,6,1,0,2171
2023-01-03 07:00:00,7,1,0,2298
2023-01-03 08:00:00,8,1,0,2107
2023-01-03 09:00:00,9,1,0,2021
2023-01-03 10:00:00,10,1,0,2060
2023-01-03 11:00:00,11,1,0,1798
2023-01-03 12:00:00,12,1,0,1829
2023-01-03 13:00:00,13,1,0,1442
2023-01-03 14:00:00,14,1,0,1517
2023-01-03 15:00:00,15,1,0,1511
2023-01-03 16:00:00,16,1,0,1367
2023-01-03 17:00:00,17,1,0,1030
2023-01-03 18:00:00,18,1,0,1136
2023-01-03 19:00:00,19,1,0,1192
2023-01-03 20:00:00,20,1,0,1367
2023-01-03 21:00:00,21,1,1,913
2023-01-03 22:00:00,22,1,0,1348
2023-01-03 23:00:00,23,1,0,1410
2023-01-04 00:00:00,0,2,0,1617
2023-01-04 01:00:00,1,2,0,1704
2023-01-04 02:00:00,2,2,0,2109
2023-01-04 03:00:00,3,2,0,1988
2023-01-04 04:00:00,4,2,0,2202
2023-01-04 05:00:00,5,2,0,2184
2023-01-04 06:00:00,6,2,0,2200
2023-01-04 07:00:00,7,2,0,2123
2023-01-04 08:00:00,8,2,0,2210
2023-01-04 09:00:00,9,2,0,2068
2023-01-04 10:00:00,10,2,0,1959
2023-01-04 11:00:00,11,2,0,1770
2023-01-04 12:00:00,12,2,0,1657
2023-01-04 13:00:00,13,2,0,1629
2023-01-04 14:00:00,14,2,0,1473
2023-01-04 15:00:00,15,2,0,1358
2023-01-04 16:00:00,16,2,0,1191
2023-01-04 17:00:00,17,2,0,1411
2023-01-04 18:00:00,18,2,0,1152
2023-01-04 19:00:00,19,2,0,1214
2023-01-04 20:00:00,20,2,0,1248
2023-01-04 21:00:00,21,2,0,1541
2023-01-04 22:00:00,22,2,0,1420
2023-01-04 23:00:00,23,2,0,1532
2023-01-05 00:00:00,0,3,0,1711
2023-01-05 01:00:00,1,3,0,1760
2023-01-05 02:00:00,2,3,0,1961
2023-01-05 03:00:00,3,3,0,2290
2023-01-05 04:00:00,4,3,0,2162
2023-01-05 05:00:00,5,3,0,2209
2023-01-05 06:00:00,6,3,0,2128
2023-01-05 07:00:00,7,3,0,2353
2023-01-05 08:00:00,8,3,0,2326
2023-01-05 09:00:00,9,3,0,2138
2023-01-05 10:00:00,10,3,0,2015
2023-01-05 11:00:00,11,3,0,1805
2023-01-05 12:00:00,12,3,0,1739
2023-01-05 13:00:00,13,3,0,1487
2023-01-05 14:00:00,14,3,0,1337
2023-01-05 15:00:00,15,3,0,1197
2023-01-05 16:00:00,16,3,0,1308
2023-01-05 17:00:00,17,3,0,1079
2023-01-05 18:00:00,18,3,0,1150
2023-01-05 19:00:00,19,3,0,1210
2023-01-05 20:00:00,20,3,0,1366
2023-01-05 21:00:00,21,3,0,1288
2023-01-05 22:00:00,22,3,0,1561
2023-01-05 23:00:00,23,3,0,1664
2023-01-06 00:00:00,0,4,0,1592
2023-01-06 01:00:00,1,4,0,1941
2023-01-06 02:00:00,2,4,0,1921
2023-01-06 03:00:00,3,4,0,2003
2023-01-06 04:00:00,4,4,0,2105
2023-01-06 05:00:00,5,4,0,2182
2023-01-06 06:00:00,6,4,0,2158
2023-01-06 07:00:00,7,4,0,2098
2023-01-06 08:00:00,8,4,0,2057
2023-01-06 09:00:00,9,4,0,2067
2023-01-06 10:00:00,10,4,0,1933
2023-01-06 11:00:00,11,4,0,1882
2023-01-06 12:00:00,12,4,0,1705
2023-01-06 13:00:00,13,4,0,1578
2023-01-06 14:00:00,14,4,0,1509
2023-01-06 15:00:00,15,4,0,1488
2023-01-06 16:00:00,16,4,0,1412
2023-01-06 17:00:00,17,4,0,1351
2023-01-06 18:00:00,18,4,0,1287
2023-01-06 19:00:00,19,4,1,1125
2023-01-06 20:00:00,20,4,0,1310
2023-01-06 21:00:00,21,4,0,1379
2023-01-06 22:00:00,22,4,0,1674
2023-01-06 23:00:00,23,4,0,1297
2023-01-07 00:00:00,0,5,0,1278
2023-01-07 01:00:00,1,5,0,1554
2023-01-07 02:00:00,2,5,0,1648
2023-01-07 03:00:00,3,5,0,1910
2023-01-07 04:00:00,4,5,0,1743
2023-01-07 05:00:00,5,5,0,1739
2023-01-07 06:00:00,6,5,0,1766
2023-01-07 07:00:00,7,5,0,1814
2023-01-07 08:00:00,8,5,0,1895
2023-01-07 09:00:00,9,5,0,1816
2023-01-07 10:00:00,10,5,1,1244
2023-01-07 11:00:00,11,5,0,1454
2023-01-07 12:00:00,12,5,0,1238
2023-01-07 13:00:00,13,5,0,1119
2023-01-07 14:00:00,14,5,0,1154
2023-01-07 15:00:00,15,5,0,1106
2023-01-07 16:00:00,16,5,0,797
2023-01-07 17:00:00,17,5,0,841
2023-01-07 18:00:00,18,5,0,775
